sigma,method,method_type,n,psnr_mean,psnr_std,ssim_mean,ssim_std
0.05,Noisy,Input baseline,334,26.092984488795768,0.09399741494652654,0.7805490318886534,0.06539814587906052
0.05,DnCNN,Deep learning,334,33.07240564320653,1.0229367117716823,0.9601047333486066,0.011689461271393274
0.05,RicianNet,"Deep learning (Li et al., 2020)",334,30.706893831817972,1.2069877276728205,0.9413533815723694,0.018113180369911382
0.05,Attention U-Net,Deep learning,334,31.40795557669062,1.1834182426957305,0.9459097626323472,0.0149836791067
0.05,Chen-Zeng (2015),Numerical / variational,334,29.650092431277937,0.6832054721955528,0.8910148190167135,0.026848900291382958
0.05,Liu et al. (2022),Numerical / variational,334,30.07358208624212,1.3113838729645007,0.9246586027616512,0.01616287641437909
0.1,Noisy,Input baseline,334,20.254434778656606,0.2062470843571195,0.5799996588758366,0.09722284724944967
0.1,DnCNN,Deep learning,334,29.219717202675525,1.0549492395269304,0.9124906623434877,0.023941365012012394
0.1,RicianNet,"Deep learning (Li et al., 2020)",334,28.021557921262374,1.1203105742126938,0.8900251336797269,0.032549967215477704
0.1,Attention U-Net,Deep learning,334,27.812124574587735,1.3100895921754283,0.8901666640164609,0.027209189150080446
0.1,Chen-Zeng (2015),Numerical / variational,334,25.695675892432742,1.1936918593269468,0.8252645309813722,0.028903641078035114
0.1,Liu et al. (2022),Numerical / variational,334,25.809842805000955,1.248577963307931,0.8264522572120506,0.03174151639842919
0.15,Noisy,Input baseline,334,16.985391789917067,0.37130333327068643,0.44952386274130757,0.1039529692310247
0.15,DnCNN,Deep learning,334,26.660891762940754,1.0798221461282163,0.8594285021285097,0.03664581217111148
0.15,RicianNet,"Deep learning (Li et al., 2020)",334,26.10269312867051,1.146273452658092,0.8379464800843222,0.042981296516599564
0.15,Attention U-Net,Deep learning,334,25.571207589620293,1.3074491856001254,0.8338420723012822,0.037241214799758705
0.15,Chen-Zeng (2015),Numerical / variational,334,23.011700920569996,1.101692012910018,0.7371241196900785,0.040975849124690725
0.15,Liu et al. (2022),Numerical / variational,334,23.10007713146658,1.2175829960588442,0.7473195418269335,0.039093559370765106
0.2,Noisy,Input baseline,334,14.756680131125924,0.5527293712988862,0.3571474105565848,0.10016760803050867
0.2,DnCNN,Deep learning,334,24.58229166465267,1.1080295834965852,0.8027349665850222,0.046810856186967106
0.2,RicianNet,"Deep learning (Li et al., 2020)",334,24.390971077959414,1.1860715669151125,0.7841519161969602,0.051088105422152925
0.2,Attention U-Net,Deep learning,334,23.817095976175057,1.3161443404801132,0.7772578754110965,0.044553344251098415
0.2,Chen-Zeng (2015),Numerical / variational,334,20.80599538748872,0.9074357526647197,0.6419085835268398,0.055721910512235705
0.2,Liu et al. (2022),Numerical / variational,334,20.426496188479547,0.7579649777034947,0.6255071546860084,0.06439595216391758
0.25,Noisy,Input baseline,334,13.093873858386845,0.7293910635256858,0.28756035061296586,0.09023117705766874
0.25,DnCNN,Deep learning,334,22.733601710765235,1.1658241234591251,0.7419139287785855,0.05044154745267629
0.25,RicianNet,"Deep learning (Li et al., 2020)",334,22.659696004055885,1.2338282225898283,0.7252589944237007,0.052019255123235436
0.25,Attention U-Net,Deep learning,334,22.101853623738286,1.2574741540467023,0.7155192539006651,0.04839205422848869
0.25,Chen-Zeng (2015),Numerical / variational,334,18.908635717867746,0.7231985217040011,0.5499560511754659,0.06544169213259075
0.25,Liu et al. (2022),Numerical / variational,334,17.980126280417682,0.48959380411161146,0.5077127845522886,0.0806075485161669
0.3,Noisy,Input baseline,334,11.808051687725142,0.904567371130414,0.23342279434025645,0.07873871665583854
0.3,DnCNN,Deep learning,334,20.84893350693269,1.3163418476658317,0.6716586517359682,0.04764312240483489
0.3,RicianNet,"Deep learning (Li et al., 2020)",334,20.576841028482555,1.3797434140224183,0.6532095063946204,0.048764492425459036
0.3,Attention U-Net,Deep learning,334,20.071061013974383,1.27049889893495,0.6393008117011921,0.05022376866531699
0.3,Chen-Zeng (2015),Numerical / variational,334,17.32007423910715,0.6909604172495689,0.46981750767744945,0.0676363418850058
0.3,Liu et al. (2022),Numerical / variational,334,16.014345460539488,0.6549180011625708,0.4130392894594969,0.08403300012779194
